Time period,Australia,Austria,Belgium,Canada,Chile,Colombia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Euro area,Euro area (17 countries),OECD,Non-OECD economies,·  Bulgaria,·  Croatia,·  Romania,·  Russia,·  South Africa
2010,94.8,93.4,98.3,84.9,70.6,77.6,105.9,101.4,124.8,109.9,106.8,89.4,124.2,103.5,94.9,116.6,81.5,124,93.5,106.4,103.8,133.1,86.1,85.5,129.9,81.1,86.7,116.1,118.2,98.7,115,134.9,81.9,86.3,78.1,98.4,99,108,108.2,98.3,,109.8,114.1,127.7,140.5,96.9
2011,88.7,95.2,100.6,88.5,77.2,81.1,103.2,96.8,111.6,109.8,111.8,91.4,116.4,98.1,94.6,84.7,86.6,123.7,93.9,107.4,108.6,138.7,87.6,88.6,125.1,80.2,91.6,112.7,111.3,96.5,118.6,123.3,82.2,90.6,80.1,94.6,93.2,107.8,107.7,96.4,,102.4,112.9,111.3,115,95.2
2012,84.9,97.2,101.4,91.4,82.4,86.1,97.5,91.8,101,108.4,109.5,93.4,105,91,95.7,75.4,86.2,118,93.5,104.3,102.1,125.6,90.1,89.8,114.1,81.9,96,105.9,101.4,93.2,112.3,104.5,81.1,94.4,83.4,91.9,93.2,104,103.7,95.3,,99.5,111.2,103.2,118,95.2
2013,87.6,99,101.6,92.5,87.2,90.9,95.5,93.4,97.9,106.6,105.6,95,100.4,86.9,94.2,77,92,108.9,95.5,100.5,103.2,119.4,93.3,92.4,103.4,87.3,96.8,99.8,98.3,93.7,107.5,95.1,83.4,96.8,87.4,92,96.9,100.6,100.3,96.2,,96.9,106.9,102.3,117.3,96.6
2014,93.2,98.9,99.2,96,93.5,95.1,97,95.2,100.4,103,102.6,96.6,100.7,90.3,96,90.4,96,104.1,97.4,99.8,104.2,113.7,96.5,94.4,99.8,91,96.9,99.8,98.1,95,101.2,96.1,89.7,98.2,92.7,97.1,98.5,99.5,99.4,97.8,,98,103.6,98.2,109.5,98.8
2015,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100
2016,104.7,103.5,101.4,109.3,102.3,105.4,105.9,103.2,98.3,99,100.6,106.2,100.2,107.8,105.2,104.7,106.1,99.9,102.5,99.8,110,95.2,105.1,105,103.1,111.7,105,100.5,105.3,106.4,101.6,104.7,107.3,101.3,104.6,105.2,101.7,102.9,103.1,103,,106.4,102,105,100.2,99.9
2017,112.7,104.5,103.8,121.1,106.5,108,115.8,106.6,96.7,98.1,103.4,111.2,101.5,117.4,121.1,111.8,108.6,98.7,105.4,99.4,120.1,103.3,109.7,110.5,109.5,116.4,107.9,101.4,113.9,112.3,104.5,110.7,113.5,102.2,105.8,108.9,104,106.1,106.5,106.2,,114.5,106.2,109.7,104.3,98.9
2018,110.4,106.7,105.9,124.1,112,109.9,122.1,110,96,97.2,106.9,116.8,106.7,127.7,124.7,118.1,106.1,97.8,107.6,100.1,126.3,104.8,116,117.3,117.4,117.8,107.6,104,123.3,120.3,107,116.7,111.4,104.9,103.8,112,106.5,110,110.4,108.9,,119.7,109.9,113,109.4,98
2019,105.5,109.9,108.7,122.6,116.2,112.5,128.5,111.5,95.8,95.6,109.9,121.9,114.5,136.6,123.2,115.5,106.5,97.4,109.3,99.9,131.5,104,126,123.9,122.9,118.3,108.3,107.8,131.4,130.5,109.5,120.9,112.4,108.1,98.5,112.2,107.9,113.3,113.7,110.6,,122.9,114.1,113.9,110.9,96.9
2020,112.3,113.5,110.4,128.4,119.8,113,135.2,115.2,106.2,96,115.6,129.5,119.6,137.5,126.6,114.9,108.6,99,109.4,103.1,139.2,108.7,142.8,127.9,129.2,126.1,111.3,112.9,139.3,140.8,117.3,122.2,115.4,111.9,110.8,113.8,112.8,117.8,118.4,115,,125.4,120.3,116.6,132.5,97.1
2021,132.1,124.1,115.4,144.8,130.6,118,158,127,117.6,99.6,122.3,142.5,128.5,157.1,138.2,121.1,116.8,101.5,116,110.6,151.8,123.9,160.4,135.1,145.2,154.6,121.4,118.6,149.7,148.5,126.2,125.9,125.5,118.5,137.2,121,128.6,125.6,126.4,126.8,,134.1,128.5,118.7,154.4,102.7
2022,137.7,137.3,117.7,154.1,134,122.9,176.1,130.5,117.9,99.8,129.1,147.3,142,174,159.5,124.4,133.5,104.2,125.7,110.8,168,127.1,172.8,143,161.5,149.2,125.1,116.1,164.2,162.2,121.8,133.5,127.9,125.6,267.8,127.8,138,132.2,132.6,137.7,,143.3,143,121.3,,104.9
2023,130.7,123.8,113.7,141.9,132.9,124.6,161.7,121.6,124.3,92.2,125.6,132.1,154.3,163.8,158.8,110.1,130.5,103,129.4,102.5,169.4,126.9,154.5,153.4,154.6,133.6,119.6,113.1,170,153.7,116.3,136.1,116.6,125.8,300.2,121.2,134.1,127.3,126.7,134.5,,145,150.6,114.1,,103.6
